"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
43;"ID";"N_001_Fassadenbegrünung";"Flächenbedarf";"Hinweis";"NA";"NA";"String";"hinw2";NA
44;"ID";"N_001_Fassadenbegrünung";"Nutzungsdauer";"min";"NA";"NA";"Integer";"nutzdmin";NA
45;"ID";"N_001_Fassadenbegrünung";"Nutzungsdauer";"max";"NA";"NA";"Integer";"nutzdmax";NA
46;"ID";"N_001_Fassadenbegrünung";"Nutzungsdauer";"üblich";"NA";"NA";"Integer";"nutzdueblich";NA
47;"ID";"N_001_Fassadenbegrünung";"Nutzungsdauer";"Hinweis";"NA";"NA";"String";"hinw3";NA
48;"ID";"N_001_Fassadenbegrünung";"Entwicklungsstand";"Stand der Wissenschaft und Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
49;"ID";"N_001_Fassadenbegrünung";"Entwicklungsstand";"Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
50;"ID";"N_001_Fassadenbegrünung";"Entwicklungsstand";"Allgemein annerkannter Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
51;"ID";"N_001_Fassadenbegrünung";"Entwicklungsstand";"Hinweis";"NA";"NA";"String";"hinw4";NA
52;"ID";"N_001_Fassadenbegrünung";"Funktionsbeschreibung und Aufbau";"NA";"NA";"NA";"String";"funktiontxt";NA
53;"ID";"N_001_Fassadenbegrünung";"Systemskizze";"Bild";"NA";"./Systemskizzen/N_001_Fassadenbegruenungsys.PNG";"String(Image)";"sysskizze";NA
54;"ID";"N_001_Fassadenbegrünung";"Systemskizze";"Beschriftung";"NA";"Beschr";"String";"beschrsys";NA
55;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Fließtext";"NA";"NA";"String";"planbemtxt";NA
56;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
57;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
58;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
59;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
60;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
61;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
62;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
63;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
64;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
65;"ID";"N_001_Fassadenbegrünung";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
66;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Fließtext";"NA";"NA";"String";"aufwandtxt";NA
67;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten1";"Einheit";"NA";"String";"inv1e";NA
68;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten1";"min";"NA";"String";"inv1min";NA
69;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten1";"max";"NA";"String";"inv1max";NA
70;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten1";"üblich";"NA";"String";"inv1ueblich";NA
71;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten2";"Einheit";"NA";"String";"inv2e";NA
72;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten2";"min";"NA";"String";"inv2min";NA
73;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten2";"max";"NA";"String";"inv2max";NA
74;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten2";"üblich";"NA";"String";"inv2ueblich";NA
75;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten3";"Einheit";"NA";"String";"inv3e";NA
76;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten3";"min";"NA";"String";"inv3min";NA
77;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten3";"max";"NA";"String";"inv3max";NA
78;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten3";"üblich";"NA";"String";"inv3ueblich";NA
79;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten4";"Einheit";"NA";"String";"inv4e";NA
80;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten4";"min";"NA";"String";"inv4min";NA
81;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten4";"max";"NA";"String";"inv4max";NA
82;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten4";"üblich";"NA";"String";"inv4ueblich";NA
83;"ID";"N_001_Fassadenbegrünung";"Aufwand und Kosten";"Investitionskosten5";"Einheit";"NA";"String";"inv5e";NA
