"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
76;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Aufwand und Kosten";"Betriebskosten2";"üblich";"NA";"String";"bet2ueblich";NA
77;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Fließtext";"NA";"NA";"String";"whinwtxt";NA
78;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";"fließtext + freie Anzahl an Zeilen mit Paramterspalte und Wertespalte"
79;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
80;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
81;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
82;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
83;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
84;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
85;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
86;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
87;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
88;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
89;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
90;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
91;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
92;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
93;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
94;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
95;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
96;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
97;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
98;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Synergien";"Niederschlagswasser";"NA";"String";"synniederschlagswasser";NA
99;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Synergien";"Schmutzwasser";"NA";"String";"synschmutzwasser";NA
100;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Synergien";"Baustoffe";"NA";"String";"synbaustoffe";NA
101;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Synergien";"Energie";"NA";"String";"sysnenergie";NA
102;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Synergien";"Fläche";"NA";"String";"synflaeche";NA
103;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Synergien";"Ökobilanz";"NA";"String";"synoekobilanz";NA
104;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Niederschlagswasser";"NA";"String";"konfniederschlagswasser";NA
105;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Schmutzwasser";"NA";"String";"konfschmutzwasser";NA
106;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Baustoffe";"NA";"String";"konfbaustoffe";NA
107;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Energie";"NA";"String";"konfenergie";NA
108;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Fläche";"NA";"String";"konfflaeche";NA
109;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Ökobilanz";"NA";"String";"konfoekobilanz";NA
110;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"1";"NA";"NA";"String";"selkombi1";NA
111;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"2";"NA";"NA";"String";"selkombi2";NA
112;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"3";"NA";"NA";"String";"selkombi3";NA
113;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"4";"NA";"NA";"String";"selkombi4";NA
114;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"5";"NA";"NA";"String";"selkombi5";NA
115;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"6";"NA";"NA";"String";"selkombi6";NA
116;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"7";"NA";"NA";"String";"selkombi7";NA
117;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"8";"NA";"NA";"String";"selkombi8";NA
118;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"9";"NA";"NA";"String";"selkombi9";NA
119;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kombinationsmöglichkeiten";"10";"NA";"NA";"String";"selkombi10";NA
120;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"1";"NA";"String";"vornach";NA
121;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"2";"NA";"String";"vornach";NA
122;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"3";"NA";"String";"vornach";NA
123;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"4";"NA";"String";"vornach";NA
124;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"5";"NA";"String";"vornach";NA
125;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"6";"NA";"String";"vornach";NA
126;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"7";"NA";"String";"vornach";NA
127;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"8";"NA";"String";"vornach";NA
128;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"9";"NA";"String";"vornach";NA
129;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Vorteile";"10";"NA";"String";"vornach";NA
130;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"1";"NA";"String";"vornach";NA
131;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"2";"NA";"String";"vornach";NA
132;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"3";"NA";"String";"vornach";NA
133;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"4";"NA";"String";"vornach";NA
134;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"5";"NA";"String";"vornach";NA
135;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"6";"NA";"String";"vornach";NA
136;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"7";"NA";"String";"vornach";NA
137;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"8";"NA";"String";"vornach";NA
138;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"9";"NA";"String";"vornach";NA
139;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Vor- und Nachteile";"Nachteile";"10";"NA";"String";"vornach";NA
140;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"1";"Projektname";"NA";"String";"fallbsp";NA
141;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"1";"Stadt";"NA";"String";"fallbsp";NA
142;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"1";"Land";"NA";"String";"fallbsp";NA
143;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"1";"Erläuterung";"NA";"String";"fallbsp";NA
144;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"2";"Projektname";"NA";"String";"fallbsp";NA
145;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"2";"Stadt";"NA";"String";"fallbsp";NA
146;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"2";"Land";"NA";"String";"fallbsp";NA
147;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"2";"Erläuterung";"NA";"String";"fallbsp";NA
148;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"3";"Projektname";"NA";"String";"fallbsp";NA
149;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"3";"Stadt";"NA";"String";"fallbsp";NA
150;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"3";"Land";"NA";"String";"fallbsp";NA
151;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Fallbeispiele";"3";"Erläuterung";"NA";"String";"fallbsp";NA
152;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Literatur";"Struktur noch unklar";"Struktur noch unklar";"NA";"String";"noch in arbeit";NA
