"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
70;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten1";"min";"NA";"String";"bet1min";NA
71;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten1";"max";"NA";"String";"bet1max";NA
72;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten1";"üblich";"NA";"String";"bet1ueblich";NA
73;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten2";"Einheit";"NA";"String";"bet2e";NA
74;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten2";"min";"NA";"String";"bet2min";NA
75;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten2";"max";"NA";"String";"bet2max";NA
76;"ID";"B_005_Kreislauf-Aspekte";"Aufwand und Kosten";"Betriebskosten2";"üblich";"NA";"String";"bet2ueblich";NA
77;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Fließtext";"NA";"NA";"String";"whinwtxt";NA
78;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";"fließtext + freie Anzahl an Zeilen mit Paramterspalte und Wertespalte"
79;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
80;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
81;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
82;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
83;"ID";"B_005_Kreislauf-Aspekte";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
